Func;Dim;Best F.O;Avg F.O;Success;CFO;Time
BOOTH;2;0;0.170422;82;3928;0.00109494
BRANIN;2;0;0.398902;0;127261;0.0247356
EASOM;2;0;-0.989188;0;160254;0.0377021
GOLDSTEINPRICE;2;3;3;100;65;4.868e-05
MATYAS;2;0;0.0015;89;15394;0.0025399
HUMP;2;0;0.00017303;0;92001;0.0173873
ROSENBROCK;2;0;0.0188243;92;105935;0.0098038
SCHWEFEL;2;0;0.000231925;0;525888;0.0403915
SHUBERT;2;-186;-186.722;100;12771;0.00298268
ZAKHAROV;2;0;0;100;206;0.00014396
SPHERE;3;0;1.85997e-05;0;33144;0.0088962
HARTMANN;3;-3;-3.83085;0;5941;0.00783557
COLVILLE;4;0;1.32274;24;137934;0.0322692
PERM;4;0;0.670703;0;555775;2.09167
PERM0;4;0;6.1106;0;339079;1.50906
POWERSUM;4;0;0;100;1329;0.00199582
SHEKEL;5;-10;-10.1532;100;941;0.0010267
SHEKEL;7;-10;-10.3501;99;1460;0.00213894
SHEKEL;10;-10;-10.3755;97;1912;0.00347239
ROSENBROCK;5;0;0;100;124821;0.0460763
ZAKHAROV;5;0;2.96841;100;2769;0.00068735
HARTMANN;6;-3;-3.32215;100;10731;0.0162829
SCHWEFEL;6;0;0.0118672;0;1649226;0.464632
TRID;6;-50;-49.9863;0;1890201;0.650562
GRIEWANK;10;0;0.00197975;88;1424958;3.24854
RASTRIGIN;10;0;1.77554;0;72253;0.168547
ROSENBROCK;10;0;0;100;176365;0.120878
SUMSQUARES;10;0;0;100;1359;0.00048551
TRID;10;-209;-209.96;0;9211855;3.57079
ZAKHAROV;10;0;0.00956276;100;1537957;0.160126
GRIEWANK;20;0;0.00612011;76;4270582;11.88
RASTRIGIN;20;1;3.78533;0;295171;0.859038
ROSENBROCK;20;0;0.14265;52;3738958;4.11635
SUMSQUARES;20;0;0;100;4309;0.00109703
ZAKHAROV;20;0;0.258803;100;20649812;3.06033
POWELL;24;0;0;100;43611;0.0110385
DIXONPRICE;25;0;0.517147;0;245110;0.210649
ACKLEY;30;0;0;100;39174;0.144166
LEVY;30;0;0;100;19881;0.185424
SPHERE;30;0;0.000186156;0;1549428;2.45293
