Func;Dim;Best F.O;Avg F.O;Success;CFO;Time
BOOTH;2;0;0.114941;65;2825;0.00088602
BRANIN;2;0;0.397964;53;47699;0.0100146
EASOM;2;0;-0.988726;4;87980;0.0215138
GOLDSTEINPRICE;2;3;3;100;65;0.0001336
MATYAS;2;0;0.00121841;73;12097;0.00218395
HUMP;2;0;0.000341973;0;44999;0.00872789
ROSENBROCK;2;0;0.113439;66;80785;0.00692264
SCHWEFEL;2;0;0.000242024;0;264202;0.0204839
SHUBERT;2;-186;-186.722;100;12771;0.00341933
ZAKHAROV;2;0;0;100;206;3.899e-05
SPHERE;3;0;1.69357e-05;0;17898;0.00507573
HARTMANN;3;-3;-3.82421;0;3053;0.00436489
COLVILLE;4;0;0.794381;19;79702;0.0234482
PERM;4;0;1.12212;0;285926;1.20426
PERM0;4;0;11.4331;0;171042;0.738323
POWERSUM;4;0;0;100;1381;0.00159869
SHEKEL;5;-10;-10.0521;98;914;0.00112504
SHEKEL;7;-10;-9.95278;92;1354;0.00185833
SHEKEL;10;-10;-9.75801;86;1707;0.00328751
ROSENBROCK;5;0;0.00354968;98;154170;0.0556397
ZAKHAROV;5;0;2.96841;100;2769;0.00061672
HARTMANN;6;-3;-3.32214;100;10241;0.0167109
SCHWEFEL;6;0;0.0119073;0;824775;0.226434
TRID;6;-50;-49.9704;0;1052077;0.357228
GRIEWANK;10;0;0.00852798;56;1041552;2.63124
RASTRIGIN;10;5;6.37225;0;19837;0.0528478
ROSENBROCK;10;0;0;100;176365;0.123365
SUMSQUARES;10;0;0;100;1359;0.00036934
TRID;10;-209;-209.933;0;4619976;1.90872
ZAKHAROV;10;0;0.0123604;100;1546649;0.171945
GRIEWANK;20;0;0.0184441;52;2940426;8.6844
RASTRIGIN;20;1;2.41466;0;145705;0.393285
ROSENBROCK;20;0;0.246835;30;2304455;2.52972
SUMSQUARES;20;0;0;100;4306;0.00148132
ZAKHAROV;20;0;0.293853;100;19910123;3.05892
POWELL;24;0;0.000682796;89;55498;0.0117742
DIXONPRICE;25;0;0.518648;0;122769;0.10728
ACKLEY;30;0;0;100;39174;0.131344
LEVY;30;0;0;100;19875;0.202101
SPHERE;30;0;0.000170398;0;1033712;1.59803
