;;C-GRASP;;;;DMC-GRASP;;;;;;;;;;;;;;;
Func;Dim;BestFO;AvgFO;CFO;Time;BestFO;AvgFO;CFO;Time;;;;;;;;;;;;
BEALE;2;0;0;21852;0.00595255;0;0.000460548;16755;0.00414486;;0;0.00016702;22169;0.00573479;0;0;1;;VITORIAS;DERROTAS;EMPATES
BOHACHEVSKY;2;-5.55E-17;-5.55E-17;27320;0.0111838;-5.55E-17;-5.55E-17;22760;0.00840944;;-5.55E-17;-5.55E-17;28220;0.0123662;0;0;1;Melhor Solução;10;4;28
BOOTH;2;0;0.005;8388;0.00076649;0;0.000652775;5541;0.0006065;;0;0.000652775;8455;0.00075994;0;1;1;Solução média;20;12;10
BRANIN;2;0.397888;0.39792;129958;0.0270286;0.397888;0.397915;132039;0.0261248;;0.397888;0.397916;133793;0.0421082;0;1;0;Nº de chamadas a f.o.;41;1;0
EASOM;2;-0.999586;-0.999309;177895;0.0431502;-0.99997;-0.97946;174117;0.0414546;;-0.99997;-0.989445;182731;0.0587254;1;0;1;Tempo de execução;41;1;0
GOLDSTEINPRICE;2;3;3;669;0.00013654;3;3;495;0.00016672;;3;3;679;0.00024207;0;0;1;;;;
MATYAS;2;0;0;39429;0.00398595;0;3.47E-06;25050;0.00244611;;0;1.63E-07;39701;0.00457328;0;0;1;;;;
HUMP;2;5.91E-05;0.00017303;92001;0.0155503;5.91E-05;0.000206783;72987;0.014869;;5.91E-05;0.000206783;93165;0.0243604;1;0;1;;;;
ROSENBROCK;2;0;0.0076853;250493;0.0246325;0;0.0224163;202530;0.0218136;;0;0.0197654;254385;0.0293701;0;0;1;;;;
SCHWEFEL;2;0.000148652;0.000231925;525888;0.0546793;0.000148652;0.000242024;388302;0.0362404;;0.000148652;0.000242024;532059;0.0649255;0;0;1;;;;
SHUBERT;2;-186.727;-186.722;255278;0.066238;-186.726;-186.722;248517;0.0559211;;-186.726;-186.722;265005;0.0952753;0;0;1;;;;
ZAKHAROV;2;0;0;11468;0.00162344;0;0;10441;0.00153733;;0;0;11729;0.00175243;0;0;1;;;;
SPHERE;3;1.25E-05;1.70E-05;35271;0.00987914;1.25E-05;1.76E-05;25033;0.00955098;;1.25E-05;1.76E-05;35623;0.0165237;0;0;1;;;;
HARTMANN;3;-3.86266;-3.85682;6575;103.514;-3.86267;-3.85496;5094;19.1996;;-3.86267;-3.85809;6666;37.9492;1;1;1;;;;
COLVILLE;4;0;0.678423;181403;0.0486227;0;0.472768;110557;0.0321655;;0;0.218815;182715;0.102506;0;1;1;;;;
PERM;4;0.0428343;0.56887;575840;1.72418;0.0428343;0.880456;508247;1.52795;;0.0428343;0.861015;590824;3.29863;0;0;1;;;;
PERM0;4;0.0917471;6.39386;365496;1.09731;0.143035;10.7841;333265;1.0026;;0.10349;10.4764;374556;2.1398;0;0;1;;;;
POWERSUM;4;0;0;11723;0.0104255;0;0;9316;0.00914788;;0;0;11906;0.0236335;0;0;1;;;;
SHEKEL;5;-10.1532;-10.1532;5761;0.00510599;-10.1532;-9.9511;4996;0.00486847;;-10.1532;-9.9511;5749;0.00989644;0;0;1;;;;
SHEKEL;7;-10.4028;-10.4028;5871;0.00718257;-10.4028;-10.1778;5508;0.00741031;;-10.4028;-10.1778;6340;0.0153565;0;0;1;;;;
SHEKEL;10;-10.5363;-10.3755;7041;0.0123836;-10.5363;-10.0538;6351;0.0122221;;-10.5363;-10.0404;7468;0.0238424;0;0;0;;;;
ROSENBROCK;5;0;0;1108287;0.257116;0;0.000155347;703661;0.157772;;0;0.0345268;1068777;0.43693;0;0;0;;;;
ZAKHAROV;5;0;0.00315094;194825;0.0237545;0;0.00289631;110516;0.020465;;0;0.00118763;195497;0.0522072;0;1;1;;;;
HARTMANN;6;-3.32229;-3.32219;127093;0.140406;-3.3223;-3.32218;82891;0.0807424;;-3.3223;-3.32218;128165;0.251608;1;0;1;;;;
SCHWEFEL;6;0.00149863;0.00500479;2076977;0.37734;0.000310816;0.00295241;1352440;0.244759;;0.000310816;0.00340701;1931684;0.720053;1;1;0;;;;
TRID;6;-50;-49.9863;1890201;0.447986;-50;-49.9924;1090646;0.255783;;-50;-49.9809;1757119;0.825384;0;0;0;;;;
GRIEWANK;10;0;0.00197975;3132075;4.85652;0;0.00477981;2382514;3.30982;;0;0.00755995;2924494;6.0097;0;0;0;;;;
