Func;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;;;;;;;;;;;;;;;
ACKLEY30;3.50204;3.50204;3.50204;3.50204;8.96571;8.96571;8.96571;8.24411;8.24411;8.24411;8.24411;9.60582;9.60582;6.63444;6.63444;6.63444;10.3379;10.3379;10.3379;7.97149;;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
BEALE2;2.47E-06;2.47E-06;2.47E-06;2.47E-06;3.49E-07;3.49E-07;3.49E-07;9.95E-07;9.95E-07;9.95E-07;9.95E-07;9.74E-07;9.74E-07;2.31E-06;2.31E-06;2.31E-06;1.41E-07;1.41E-07;1.41E-07;1.45E-07;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
BOHACHEVSKY2;0.0021798;0.0021798;0.0021798;0.0021798;4.05E-05;4.05E-05;4.05E-05;3.23E-05;3.23E-05;3.23E-05;3.23E-05;1.57E-05;1.57E-05;7.60E-05;7.60E-05;7.60E-05;0.00044474;0.00044474;0.00044474;0.00041595;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO
BOOTH2;0.000153345;0.000153345;0.000153345;0.000153345;8.80E-08;8.80E-08;8.80E-08;0.000419854;0.000419854;0.000419854;0.000419854;7.33E-05;7.33E-05;0.000260855;0.000260855;0.000260855;6.46E-06;6.46E-06;6.46E-06;0.000122682;;FALSO;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
BRANIN2;0.397888;0.397888;0.397888;0.397888;0.397887;0.397887;0.397887;0.397887;0.397887;0.397887;0.397887;0.397888;0.397888;0.39789;0.39789;0.39789;0.397888;0.397888;0.397888;0.397887;;FALSO;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;FALSO
COLVILLE4;0.0223244;0.0223244;0.0223244;0.0223244;0.0251955;0.0251955;0.0251955;0.00931615;0.00931615;0.00931615;0.00931615;0.00533193;0.00533193;0.00929106;0.00929106;0.00929106;0.00766373;0.00766373;0.00766373;0.0217379;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO
DIXONPRICE25;4.42303;4.42303;4.42303;4.42303;118.883;118.883;118.883;125.822;125.822;125.822;125.822;1180.81;1180.81;26.1133;26.1133;26.1133;908.488;908.488;908.488;119.948;;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
EASOM2;-0.999998;-0.999998;-0.999998;-0.999998;-0.99999;-0.99999;-0.99999;-0.999997;-0.999997;-0.999997;-0.999997;-0.999985;-0.999985;-0.999978;-0.999978;-0.999978;-0.999991;-0.999991;-0.999991;-0.999991;;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
GOLDSTEINPRICE2;3.02674;3.02674;3.02674;3.02674;3.16532;3.16532;3.16532;3.9513;3.9513;3.9513;3.9513;3.0505;3.0505;3.10103;3.10103;3.10103;3.09911;3.09911;3.09911;3.74438;;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
GRIEWANK10;0.109216;0.109216;0.109216;0.109216;0.0858738;0.0858738;0.0858738;0.107428;0.107428;0.107428;0.107428;0.637474;0.637474;0.103119;0.103119;0.103119;0.240589;0.240589;0.240589;0.104817;;FALSO;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
GRIEWANK20;0.892769;0.892769;0.892769;0.892769;0.00589965;0.00589965;0.00589965;0.00384274;0.00384274;0.00384274;0.00384274;0.00307218;0.00307218;0.00307218;0.00435419;0.00435419;0.00435419;0.00465802;;;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO
HARTMANN3;-3.86268;-3.86268;-3.86268;-3.86268;-3.86087;-3.86087;-3.86087;-3.85724;-3.85724;-3.85724;-3.85724;-3.85864;-3.85864;-3.8562;-3.8562;-3.8562;-3.85875;-3.85875;-3.85875;-3.858;;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
HARTMANN6;-3.32228;-3.32228;-3.32228;-3.32228;-3.32217;-3.32217;-3.32217;-3.3221;-3.3221;-3.3221;-3.3221;-3.32226;-3.32226;-3.32189;-3.32189;-3.32189;-3.32227;-3.32227;-3.32227;-3.32212;;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
HUMP2;1.60E-07;1.60E-07;1.60E-07;1.60E-07;2.49E-07;2.49E-07;2.49E-07;6.32E-08;6.32E-08;6.32E-08;6.32E-08;1.94E-07;1.94E-07;8.05E-08;8.05E-08;8.05E-08;4.67E-08;4.67E-08;4.67E-08;8.34E-08;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
LEVY30;1.21788;1.21788;1.21788;1.15478;1.15478;1.15478;0.454265;0.454265;0.454265;0.454265;1.42754;1.42754;0.544055;0.544055;0.544055;2.62892;2.62892;2.62892;0.902388;;;FALSO;;;;;;;;;;;;
MATYAS2;5.08E-08;5.08E-08;5.08E-08;5.08E-08;7.31E-07;7.31E-07;7.31E-07;5.42E-07;5.42E-07;5.42E-07;5.42E-07;5.45E-07;5.45E-07;9.85E-08;9.85E-08;9.85E-08;2.50E-08;2.50E-08;2.50E-08;6.35E-08;;FALSO;;;;;;;;;;;;
