config;out(dmc --elsz 10 --dmstart 0.1 --dmfreq con --ptsz 0.9 --sd 0.3682 );out(dmc --elsz 10 --dmstart 0.1 --dmfreq con --ptsz 0.9 --sd 0.3992 );out(dmc --elsz 10 --dmstart 0.1 --dmfreq con --ptsz 0.9 --sd 0.4465 );out(dmc --elsz 10 --dmstart 0.1 --dmfreq con --ptsz 0.9 --sd 0.4773 );out(dmc --elsz 20 --dmstart 0.8 --dmfreq con --ptsz 1.0 --sd 0.1032 );out(dmc --elsz 20 --dmstart 0.8 --dmfreq con --ptsz 1.0 --sd 0.1672 );out(dmc --elsz 20 --dmstart 0.8 --dmfreq con --ptsz 1.0 --sd 0.8447 );out(mxdmc --elsz 30 --dmstart 0.2 --dmfreq con --ptsz 1.0 --sd 0.2931 );out(mxdmc --elsz 30 --dmstart 0.2 --dmfreq con --ptsz 1.0 --sd 0.297 );out(mxdmc --elsz 30 --dmstart 0.2 --dmfreq con --ptsz 1.0 --sd 0.314 );out(mxdmc --elsz 30 --dmstart 0.2 --dmfreq con --ptsz 1.0 --sd 0.3325 );out(rmxdmc --elsz 10 --dmstart 0.2 --dmfreq con --ptsz 1.0 );out(rmxdmc --elsz 90 --dmstart 0.2 --dmfreq con --ptsz 1.0 --sd 0.1743 );out(rmxdmc --elsz 90 --dmstart 0.2 --dmfreq con --ptsz 1.0 --sd 0.1923 );out(rmxdmc --elsz 90 --dmstart 0.2 --dmfreq con --ptsz 1.0 --sd 0.2555 );out(xdmc --elsz 10 --dmstart 0.4 --dmfreq con --ptsz 1.0 --sd 0.179 );out(xdmc --elsz 10 --dmstart 0.4 --dmfreq con --ptsz 1.0 --sd 0.2151 );out(xdmc --elsz 10 --dmstart 0.4 --dmfreq con --ptsz 1.0 --sd 0.3635 );out(xdmc --elsz 30 --dmstart 0.3 --dmfreq con --ptsz 1.0 --sd 0.294 );
ACKLEY30;4.67782;4.67782;4.67782;4.67782;11.6856;11.6856;11.6856;11.1428;11.1428;11.1428;11.1428;14.3489;14.3489;9.78106;9.78106;9.78106;14.0541;14.0541;14.0541;11.2435
BEALE2;0.00037948;0.00037948;0.00037948;0.00037948;0.000176148;0.000176148;0.000176148;0.00108198;0.00108198;0.00108198;0.00108198;0.000120812;0.000120812;0.000138254;0.000138254;0.000138254;0.000121517;0.000121517;0.000121517;0.000132449
BOHACHEVSKY2;0.199067;0.199067;0.199067;0.199067;0.0943108;0.0943108;0.0943108;0.0720197;0.0720197;0.0720197;0.0720197;0.0898862;0.0898862;0.085807;0.085807;0.085807;0.0757243;0.0757243;0.0757243;0.0774702
BOOTH2;0.0141547;0.0141547;0.0141547;0.0141547;0.0200234;0.0200234;0.0200234;0.0275878;0.0275878;0.0275878;0.0275878;0.0323047;0.0323047;0.0157779;0.0157779;0.0157779;0.0276323;0.0276323;0.0276323;0.0253122
BRANIN2;0.398058;0.398058;0.398058;0.398058;0.398182;0.398182;0.398182;0.398013;0.398013;0.398013;0.398013;0.397997;0.397997;0.397946;0.397946;0.397946;0.398317;0.398317;0.398317;0.398312
COLVILLE4;1.86048;1.86048;1.86048;1.86048;2.94494;2.94494;2.94494;2.14217;2.14217;2.14217;2.14217;1.32062;1.32062;2.74439;2.74439;2.74439;1.56484;1.56484;1.56484;1.95569
DIXONPRICE25;15.6691;15.6691;15.6691;15.6691;958.746;958.746;958.746;591.346;591.346;591.346;591.346;5107.19;5107.19;86.5928;86.5928;86.5928;3294.69;3294.69;3294.69;483.576
EASOM2;-0.999708;-0.999708;-0.999708;-0.999708;-0.998571;-0.998571;-0.998571;-0.988564;-0.988564;-0.988564;-0.988564;-0.98844;-0.98844;-0.998965;-0.998965;-0.998965;-0.998601;-0.998601;-0.998601;-0.998641
GOLDSTEINPRICE2;8.0091;8.0091;8.0091;8.0091;12.5209;12.5209;12.5209;19.8945;19.8945;19.8945;19.8945;18.3162;18.3162;17.83;17.83;17.83;15.5834;15.5834;15.5834;21.4114
GRIEWANK10;0.459452;0.459452;0.459452;0.459452;2.05517;2.05517;2.05517;1.16234;1.16234;1.16234;1.16234;3.54532;3.54532;0.759729;0.759729;0.759729;3.39173;3.39173;3.39173;1.37187
GRIEWANK20;1.05894;1.05894;1.05894;1.05894;0.0865936;0.0865936;0.0865936;0.0928795;0.0928795;0.0928795;0.0928795;0.0754117;0.0754117;0.0754117;0.105437;0.105437;0.105437;0.0737362;;
HARTMANN3;-3.7834;-3.7834;-3.7834;-3.7834;-3.79403;-3.79403;-3.79403;-3.66471;-3.66471;-3.66471;-3.66471;-3.61299;-3.61299;-3.60024;-3.60024;-3.60024;-3.72309;-3.72309;-3.72309;-3.71331
